"slug","title","status","date","category","department","legacySeries","presentsSeries","workshopProgram","entryType","format","tags","relatedArticles","centralObject","primarySection","subjects","seriesAndSpecials","people","organizations","places","events","works","publications","technologies","sourceArtifacts","storyModes","confidence","ambiguityNotes"
"how-the-money-eats-the-medium","How the Money Eats the Medium","published","2026-07-09T00:00:00.000Z","magazine-time-machine","magazine-time-machine","Magazine Time Machine","","","","article","[""magazine-time-machine"",""vonnegut"",""publishing-history"",""media-economics"",""short-stories"",""television"",""independent-media"",""ai"",""other-alice-adventures""]","[]","The recurring economic cycle in which one media system removes the living market beneath another.","culture","[""media-economics"",""publishing"",""independent-media"",""platform-economics"",""creative-labor""]","[]","[""kurt-vonnegut"",""roger-corman""]","[""youtube""]","[]","[]","[]","[""saturday-evening-post"",""colliers"",""cosmopolitan""]","[""artificial-intelligence""]","[]","[""systems-investigation"",""media-genealogy""]","medium","Magazines are central evidence but no specific old magazine artifact originates the article, so canonical Magazine Time Machine membership is omitted."
"how-to-fix-slop","How to Fix Slop","published","2026-06-09T00:00:00.000Z","cultural-thread","workshop-notes","","","","","workshop-note","[""ai agents"",""structured data"",""knowledge systems"",""ai slop"",""style construction""]","[]","Structured memory, roles, retrieval, and project boundaries as an engineering answer to AI slop.","technology","[""artificial-intelligence"",""knowledge-systems"",""schema-design"",""creative-workflows"",""creative-systems""]","[]","[]","[]","[]","[]","[]","[]","[""artificial-intelligence"",""grimoire"",""stylefusion""]","[]","[""technical-explainer"",""process-essay""]","high",""
"i-could-be-playing-civilization","I Could Be Playing Civilization","published","2026-07-29T00:20:00.000Z","cultural-thread","essays-arguments","","","","feature","article","[""ai"",""Civilization"",""agentic systems"",""codex"",""skills"",""AGENTS.md"",""creative systems"",""grimoire"",""solo publishing"",""Other Alice""]","[""gary-and-the-fork"",""a-world-of-geniuses-needs-a-system"",""you-do-not-own-the-ai-you-pay-for"",""everything-is-still-loading""]","The same systems appetite expressed first through Civilization and now through durable AI-assisted publishing work.","technology","[""creative-systems"",""multi-agent-systems"",""game-design"",""solo-publishing"",""knowledge-systems""]","[]","[]","[""hobfarm""]","[]","[]","[""civilization-v""]","[]","[""codex"",""grimoire""]","[]","[""personal-history-trail"",""process-essay""]","high",""
"i-may-have-inspired-it","I May Have Inspired Stephen King’s It","published","2026-08-02T00:20:00.000Z","cultural-thread","magazine-time-machine","","","","feature","article","[""Stephen King"",""It"",""Bangor Maine"",""Derry Maine"",""Thomas Hill Standpipe"",""local history"",""personal essay"",""Carrie"",""Pet Sematary"",""Hampden Academy"",""Bucksport Maine""]","[""hey-its-that-guy"",""mad-trump-and-the-magazine-time-machine"",""the-censor-eats-its-own-tail""]","A deliberately unprovable childhood Bangor story situated inside the real places Stephen King turned into Derry.","culture","[""personal-history"",""regional-history"",""folklore"",""literary-history"",""place-memory""]","[]","[""stephen-king""]","[]","[""bangor-maine"",""thomas-hill-standpipe""]","[]","[""it"",""carrie""]","[]","[]","[]","[""personal-history-trail"",""place-study""]","high",""
"i-stopped-writing-prompts-and-built-a-machine-instead","I Stopped Writing Prompts and Built a Machine Instead","scheduled","2026-08-24T23:20:00.000Z","","workshop-notes","","","cute-and-corrupted","feature","workshop-note","[""EZIZE"",""Cute & Corrupted"",""generative media"",""prompt compilation"",""schema design"",""digital collectibles"",""AI image generation""]","[""hit-the-source-directly"",""you-should-write-about-sharks"",""the-card-catalog-started-talking-back"",""same-model-different-surface""]","EZIZE as a schema-driven image production machine that replaces one-off prompting with reusable subject systems and controlled variation.","technology","[""ai-image-generation"",""creative-systems"",""generative-media"",""production-systems"",""prompt-compilation"",""schema-design"",""visual-systems""]","[]","[""john-pound""]","[""hobfarm"",""openai"",""topps""]","[]","[]","[""garbage-pail-kids""]","[]","[""dynamic-prompts"",""ezize"",""gpt-image"",""grimoire"",""wildcard-machine""]","[{""id"":""garbage-pail-kids-original-series-2-card-pairs"",""type"":""other"",""label"":""Three Garbage Pail Kids Original Series 2 A/B card pairs"",""role"":""organizing""}]","[""process-essay"",""systems-investigation"",""technical-explainer""]","high",""
"i-want-my-mtv","I Want My MTV","scheduled","2026-08-16T23:20:00.000Z","magazine-time-machine","magazine-time-machine","Magazine Time Machine","","","feature","article","[""MTV"",""music videos"",""Spotify"",""YouTube"",""YouTube Music"",""Paramount+"",""1990s"",""1980s"",""Beavis and Butt-Head"",""MTV Unplugged"",""streaming"",""music television"",""Woodstock '99""]","[""the-number-one-song-ive-never-heard"",""how-the-money-eats-the-medium""]","The fragmented afterlife of music television and a personal attempt to rebuild MTV from streaming archives.","music","[""music-television"",""streaming"",""music-discovery"",""media-history"",""platform-fragmentation""]","[]","[]","[""spotify"",""youtube"",""paramount-plus""]","[]","[]","[""love-spreads""]","[]","[""streaming-media""]","[{""id"":""love-spreads-broadcast-master-slate"",""type"":""broadcast"",""label"":""Love Spreads broadcast master slate, 1994"",""role"":""origin""}]","[""personal-history-trail"",""media-genealogy""]","medium","The originating artifact is broadcast media rather than a magazine, so the canonical Magazine Time Machine series is omitted."
"instagram-funnel-buckets","The Feed Is the Slop Machine","published","2026-06-29T19:00:00.000Z","cultural-thread","essays-arguments","","","","","article","[""instagram"",""algorithm"",""social media"",""ai slop"",""funnel buckets"",""cute and corrupted""]","[""against-slop"",""how-to-fix-slop"",""psychedelic-goth-defined""]","The repeatable emotional costumes that turn Instagram posts into engagement funnels.","culture","[""social-media"",""attention-economy"",""platform-design"",""synthetic-media"",""advertising""]","[]","[]","[""instagram"",""meta""]","[]","[]","[]","[]","[""recommendation-algorithms"",""artificial-intelligence""]","[]","[""field-report"",""systems-investigation""]","high",""
"invisible-variable","The Invisible Variable: How Five AI Models Read the Same Image Differently","published","2026-03-19T00:00:00.000Z","research","workshop-notes","","","","","workshop-note","[""stylefusion"",""grimoire"",""research"",""ai-image-generation""]","[]","A controlled comparison showing that vision extraction models act as creative directors inside an image pipeline.","technology","[""model-behavior"",""ai-image-generation"",""schema-design"",""benchmarking"",""creative-workflows""]","[]","[]","[""openai"",""google"",""xai""]","[]","[]","[]","[]","[""stylefusion"",""gemini"",""grok"",""qwen"",""glm""]","[]","[""systems-investigation"",""technical-explainer""]","high",""
"it-just-runs-programs","It Just Runs Programs","published","2026-08-01T00:20:00.000Z","","essays-arguments","","","","feature","article","[""artificial intelligence"",""open weights"",""open source"",""Anthropic"",""Kafkaesque"",""computing"",""film"",""ownership"",""censorship"",""technology""]","[""vacation-into-nothing"",""you-do-not-own-the-ai-you-pay-for"",""everything-is-still-loading"",""the-censor-eats-its-own-tail""]","The institutions and contracts that decide which programs AI runs and which models ordinary users may own.","technology","[""artificial-intelligence"",""open-computing"",""surveillance"",""censorship"",""software-ownership"",""military-technology""]","[]","[""dario-amodei""]","[""anthropic""]","[]","[]","[]","[]","[""artificial-intelligence"",""open-weight-models""]","[]","[""systems-investigation"",""cultural-trail""]","high",""
"mad-trump-and-the-magazine-time-machine","MAD, TRUMP, and the Magazine Time Machine","published","2026-06-29T00:00:00.000Z","magazine-time-machine","magazine-time-machine","Magazine Time Machine","","","","article","[""magazine-time-machine"",""mad-magazine"",""trump-magazine"",""harvey-kurtzman"",""media-history"",""satire"",""visual-culture"",""censorship""]","[""1985-future-tech"",""1956-automation"",""1973-when-airbrush-was-ai""]","The two-issue 1957 TRUMP run and the changing meanings layered onto satire-magazine artifacts.","culture","[""publishing"",""satire"",""censorship"",""media-history""]","[""magazine-time-machine""]","[""harvey-kurtzman"",""hugh-hefner"",""donald-trump""]","[""ec-comics"",""playboy-enterprises""]","[]","[]","[]","[""mad-magazine"",""trump-1957"",""trump-magazine"",""national-lampoon""]","[]","[{""id"":""trump-1957-issues-one-and-two"",""type"":""magazine"",""label"":""TRUMP issues 1 and 2 (1957)"",""publication"":""trump-1957"",""role"":""origin""}]","[""archive-trail"",""media-genealogy""]","medium","The source is a short magazine run rather than one page; the artifacts materially drive the article and are recorded explicitly."
"mr-paige-theres-an-anteater-behind-you","Mr. Paige, There’s an Anteater Behind You","published","2026-08-09T23:20:00.000Z","magazine-time-machine","magazine-time-machine","","","","feature","article","[""Salvador Dalí"",""Dick Cavett"",""Lillian Gish"",""Satchel Paige"",""Surrealism"",""hypnagogia"",""art history"",""television""]","[""you-should-write-about-sharks"",""the-card-catalog-started-talking-back"",""mad-trump-and-the-magazine-time-machine""]","Salvador Dalí's television performance as a route into his visual method, public character, and surrealist machinery.","art-design","[""surrealism"",""art-history"",""television-history"",""creative-workflows"",""visual-aesthetics""]","[]","[""salvador-dali"",""dick-cavett"",""satchel-paige"",""lillian-gish"",""gala-dali""]","[]","[]","[]","[""the-dick-cavett-show""]","[]","[]","[{""id"":""dick-cavett-dali-anteater-broadcast"",""type"":""broadcast"",""label"":""The Dick Cavett Show, Salvador Dalí anteater appearance (1971)"",""role"":""origin""}]","[""media-genealogy"",""visual-study""]","medium","Art & Design owns Dalí's visual method; Film & TV remains a strong secondary relationship because the originating artifact is a broadcast."
"other-alice-origin","Bloody Tea at the Salton Sea","published","2026-07-14T00:00:00.000Z","stylefusion","workshop-notes","Other Alice Adventures","","stylefusion","","workshop-note","[""Other Alice Adventures"",""Alice in Wonderland"",""worldbuilding"",""visual development"",""Salton Sea"",""process"",""mixed-media fiction"",""StyleFusion""]","[""3dm/1933-the-year-warner-bros-built-a-world"",""stylefusion-ir-extraction"",""psychedelic-goth-defined"",""against-slop""]","A forgotten image composite and the design questions that turned it into Other Alice Adventures.","art-design","[""worldbuilding"",""visual-development"",""mixed-media-fiction"",""character-design"",""creative-workflows""]","[]","[]","[]","[""salton-sea""]","[]","[""star-trek"",""frankenstein-created-woman""]","[]","[""stylefusion""]","[{""id"":""bloody-alice-salton-sea-prototype"",""type"":""photograph"",""label"":""Bloody Alice at the Salton Sea prototype composite"",""role"":""origin""}]","[""process-essay"",""visual-study""]","medium","Other Alice Adventures is a Presents title/imprint relationship rather than a canonical Editorial series."
"psychedelic-goth-defined","Psychedelic Goth: A Definition","published","2026-06-07T00:00:00.000Z","cultural-thread","workshop-notes","","","","","workshop-note","[""psychedelic goth"",""style guide"",""aesthetics"",""dark psychedelia""]","[]","A visual definition and historical source map for psychedelic goth.","art-design","[""psychedelic-art"",""gothic-art"",""visual-systems"",""aesthetics"",""art-history""]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[""visual-study"",""cultural-trail""]","high",""
"put-on-the-glasses","Put On the Glasses","published","2026-07-31T00:20:00.000Z","cultural-thread","essays-arguments","","","","feature","article","[""They Live"",""John Carpenter"",""Roddy Piper"",""Keith David"",""augmented reality"",""smart glasses"",""Atheer"",""open source"",""enterprise software"",""1980s film"",""character actors"",""media criticism"",""personal computing""]","[""too-big-for-the-box"",""brought-to-you-by-they-inc"",""the-card-catalog-started-talking-back""]","They Live and Atheer as a route into who controls the augmented layer between a person and the world.","technology","[""consumer-technology"",""open-computing"",""software-ownership"",""platform-governance"",""media-history""]","[]","[""john-carpenter"",""roddy-piper"",""keith-david""]","[""google""]","[]","[]","[""they-live""]","[]","[""augmented-reality"",""smart-glasses"",""atheer""]","[]","[""personal-history-trail"",""systems-investigation""]","high",""
"reviewing-request-for-safety","Reviewing Request for Safety","published","2026-08-14T23:20:00.000Z","","workshop-notes","","","workshop-notes","feature","workshop-note","[""artificial intelligence"",""instruction following"",""AI image generation"",""prompt engineering"",""schemas"",""safety systems"",""human oversight"",""creative workflows""]","[""the-model-is-free"",""same-same-but-different"",""every-sentence-is-a-keynote-conclusion"",""the-card-catalog-started-talking-back""]","How AI products transform, reprioritize, and sometimes replace a user's explicit request before producing an answer.","technology","[""artificial-intelligence"",""model-behavior"",""platform-design"",""schema-design"",""prompt-engineering"",""human-agency"",""creative-workflows""]","[]","[""dibakar-ghosh""]","[""meta"",""anthropic"",""openai"",""google"",""xai"",""microsoft"",""hobfarm""]","[]","[]","[]","[""how-to-geek""]","[""artificial-intelligence"",""ai-image-generation"",""meta-ai"",""chatgpt"",""claude"",""gemini"",""grok""]","[{""id"":""meta-image-experiment-2026"",""type"":""other"",""label"":""Author-held Meta AI structured image experiment"",""role"":""origin""},{""id"":""how-to-geek-ai-resume-comparison-2026"",""type"":""other"",""label"":""How-To Geek AI résumé comparison"",""publication"":""how-to-geek"",""role"":""organizing""}]","[""systems-investigation"",""process-essay"",""field-report""]","high",""
"salton-sea-needs-an-outlet","The Salton Sea Needs an Outlet","scheduled","2026-08-26T23:20:00.000Z","research","essays-arguments","","","","feature","article","[""Salton Sea"",""Colorado River"",""desalination"",""water infrastructure"",""North Shore"",""Gulf of California"",""geothermal energy"",""environmental systems""]","[""deserts-remember-water"",""from-wetlands-to-the-wash"",""trash-mountain""]","A Salton Sea inlet and outlet concept tested as one coupled water, salt, power, customer, and binational operating system.","places-systems","[""environmental-systems"",""infrastructure"",""conceptual-engineering"",""public-safety"",""regional-history"",""settlement-patterns"",""urban-hydrology""]","[]","[]","[""bahrain-electricity-water-authority"",""bureau-of-reclamation"",""california-department-of-water-resources"",""coachella-valley-water-district"",""imperial-irrigation-district"",""international-boundary-and-water-commission"",""salton-sea-history-museum"",""salton-sea-management-program"",""state-water-resources-control-board"",""us-department-of-energy"",""us-geological-survey""]","[""coachella-valley"",""colorado-river-basin"",""gulf-of-california"",""imperial-valley"",""laguna-salada"",""lake-mead"",""lake-powell"",""north-shore-california"",""salton-sea"",""southern-california""]","[]","[]","[]","[""geothermal-power"",""google-earth"",""reverse-osmosis"",""water-desalination""]","[{""id"":""salton-sea-history-museum-archive"",""type"":""photograph"",""label"":""Salton Sea History Museum archival image set retained during HobFarm volunteer work inside the North Shore Yacht Club, 2010"",""role"":""organizing""},{""id"":""north-shore-2010-field-photographs"",""type"":""photograph"",""label"":""HobFarm North Shore field photographs, 2010"",""role"":""organizing""},{""id"":""north-shore-2008-2026-aerial-comparison"",""type"":""map"",""label"":""Google Earth North Shore marina comparison, February 2008 and 2026"",""role"":""organizing""}]","[""field-report"",""place-study"",""systems-investigation"",""technical-explainer"",""visual-study""]","high",""
"same-model-different-surface","Same Model, Different Surface","published","2026-04-03T00:00:00.000Z","research","workshop-notes","","","","","workshop-note","[""stylefusion"",""research"",""ai-image-generation"",""grok"",""gemini"",""chatgpt""]","[]","A controlled API-versus-web comparison showing how provider surfaces change output from the same model.","technology","[""model-behavior"",""ai-image-generation"",""platform-design"",""benchmarking"",""creative-tools""]","[]","[]","[""google"",""openai"",""xai""]","[]","[]","[]","[]","[""stylefusion"",""gemini"",""gpt-image"",""grok""]","[]","[""systems-investigation"",""technical-explainer""]","high",""
"same-same-but-different","Same Same, But Different","published","2026-08-12T23:20:00.000Z","research","essays-arguments","","","","feature","article","[""ai"",""generative media"",""video generation"",""image generation"",""APIs"",""creative workflows"",""model providers"",""ComfyUI"",""production systems""]","[""reviewing-request-for-safety"",""invisible-variable"",""same-model-different-surface"",""i-could-be-playing-civilization"",""you-do-not-own-the-ai-you-pay-for""]","A production-oriented way to evaluate AI models, platforms, wrappers, routes, and accepted-result cost.","technology","[""generative-media"",""platform-economics"",""benchmarking"",""creative-tools"",""creative-workflows""]","[]","[]","[""openai"",""google"",""xai""]","[]","[]","[]","[]","[""model-apis"",""comfyui"",""stylefusion""]","[]","[""systems-investigation"",""field-report""]","high",""
"sharksploitation","Sharksploitation: The Shark Never Had to Come Ashore","published","2026-08-07T23:20:00.000Z","cultural-thread","essays-arguments","","","","feature","article","[""sharks"",""exploitation film"",""Mondo Cane"",""Jaws"",""Roger Corman"",""American International Pictures"",""blockbuster history"",""independent film"",""Curry Barker"",""Obsession"",""film economics"",""media panic""]","[""how-the-money-eats-the-medium"",""the-censor-eats-its-own-tail"",""fear-and-loathing-after-the-american-dream""]","The production machine that turns a real shark into panic, exploitation, blockbuster, franchise, and independent-film opportunity.","film-tv","[""exploitation-film"",""film-history"",""media-panic"",""film-economics"",""independent-film""]","[]","[""roger-corman"",""curry-barker""]","[""american-international-pictures"",""universal-pictures""]","[""las-vegas""]","[]","[""mondo-cane"",""jaws"",""obsession-2026""]","[]","[]","[]","[""media-genealogy"",""systems-investigation""]","high",""
"songs-we-learned-backwards","Songs We Learned Backwards","scheduled","2026-08-19T23:20:00.000Z","magazine-time-machine","magazine-time-machine","Magazine Time Machine","","","feature","article","[""sampling"",""hip-hop"",""jazz-funk"",""soul"",""music discovery"",""Eugene McDaniels"",""Beastie Boys"",""Quincy Jones"",""The Pharcyde"",""Labi Siffre"",""Eminem"",""Bob James"",""Run-DMC""]","[""the-number-one-song-ive-never-heard"",""i-want-my-mtv"",""from-wetlands-to-the-wash""]","Sampling as a reverse discovery path from familiar hip-hop fragments into older jazz, funk, and soul records.","music","[""sampling"",""music-discovery"",""hip-hop"",""jazz-funk"",""soul""]","[]","[""eugene-mcdaniels"",""q-tip"",""bob-james"",""labi-siffre""]","[]","[]","[]","[""headless-heroes"",""get-it-together""]","[]","[]","[{""id"":""headless-heroes-recording"",""type"":""recording"",""label"":""Eugene McDaniels, Headless Heroes"",""role"":""origin""}]","[""media-genealogy"",""personal-history-trail""]","medium","The article is a music trail rather than a magazine-origin investigation, so canonical Magazine Time Machine membership is omitted."
"stylefusion-ir-extraction","How StyleFusion Reads Images","published","2026-02-15T00:00:00.000Z","stylefusion","workshop-notes","","","stylefusion","","workshop-note","[""stylefusion"",""ai"",""image-generation""]","[]","StyleFusion's Intermediate Representation and provider-specific prompt compilation pipeline.","technology","[""ai-image-generation"",""schema-design"",""prompt-compilation"",""visual-systems"",""creative-tools""]","[]","[]","[]","[]","[]","[]","[]","[""stylefusion"",""grimoire"",""ai-image-generation""]","[]","[""technical-explainer""]","high",""
"susan-denbergs-american-dream","I Opened August 1966 and Found Susan Denberg","published","2026-08-03T00:20:00.000Z","cultural-thread","magazine-time-machine","Magazine Time Machine","","","feature","article","[""Susan Denberg"",""Playboy"",""August 1966"",""Las Vegas"",""Stardust"",""Bluebell Girls"",""Lido de Paris"",""Norman Mailer"",""An American Dream"",""Esquire"",""Star Trek"",""Hammer Horror"",""magazine history""]","[""i-may-have-inspired-it"",""hey-its-that-guy"",""mad-trump-and-the-magazine-time-machine""]","The Susan Denberg feature in Playboy's August 1966 issue and the career histories the page could not yet know.","culture","[""media-history"",""film-history"",""publishing"",""regional-history""]","[""magazine-time-machine""]","[""susan-denberg"",""norman-mailer""]","[""playboy-enterprises""]","[""las-vegas""]","[]","[""other-alice-adventures""]","[""playboy"",""esquire""]","[]","[{""id"":""playboy-august-1966-susan-denberg"",""type"":""magazine"",""label"":""Playboy, August 1966, Susan Denberg Picture Playmate"",""publication"":""playboy"",""role"":""origin""}]","[""archive-trail"",""media-genealogy""]","high",""
"take-me-to-phobos","Take Me to Phobos","published","2026-07-18T15:00:00.000Z","research","essays-arguments","","","","feature","article","[""interactive fiction"",""computer history"",""Colossal Cave Adventure"",""Zork"",""Infocom"",""ARPANET"",""Apple I"",""BBS"",""Doom"",""game history""]","[""gonna-be-different"",""1985-future-tech"",""1956-automation"",""how-the-money-eats-the-medium""]","A misused catalog record that opened the networked prehistory of interactive fiction and Doom.","technology","[""game-history"",""interactive-fiction"",""computing-history"",""network-history"",""research-methods""]","[]","[]","[""infocom"",""computer-history-museum""]","[]","[]","[""colossal-cave-adventure"",""zork"",""leather-goddesses-of-phobos"",""doom""]","[""the-status-line""]","[""arpanet"",""apple-i"",""bbs""]","[{""id"":""leather-goddesses-of-phobos-package"",""type"":""catalog"",""label"":""Leather Goddesses of Phobos package and InfoComics advertisement"",""role"":""origin""}]","[""archive-trail"",""media-genealogy""]","high",""
"the-anime-to-gothic-pipeline","The Anime-to-Gothic Pipeline","published","2026-03-08T00:00:00.000Z","cultural-thread","workshop-notes","","","","","workshop-note","[""anime"",""gothic"",""art-history"",""style-transfer"",""visual-dna""]","[]","The shared structural visual grammar that makes anime and European Gothic art compatible in style-transfer work.","art-design","[""art-history"",""gothic-art"",""anime"",""visual-systems"",""ai-image-generation""]","[]","[]","[]","[]","[]","[]","[]","[""stylefusion"",""ai-image-generation""]","[]","[""visual-study"",""comparative-history""]","high",""
"the-card-catalog-started-talking-back","The Card Catalog Started Talking Back","published","2026-07-21T00:00:00.000Z","","essays-arguments","","","","feature","article","[""artificial intelligence"",""media literacy"",""research"",""creative systems"",""scope control"",""academy""]","[""vacation-into-nothing"",""a-world-of-geniuses-needs-a-system""]","The changed research job when the catalog can answer, synthesize, and confidently leave the assignment.","technology","[""artificial-intelligence"",""media-literacy"",""research-methods"",""education"",""knowledge-systems""]","[]","[]","[""hobfarm""]","[]","[]","[]","[]","[""artificial-intelligence"",""chatgpt""]","[]","[""process-essay"",""technical-explainer""]","high",""
"the-censor-eats-its-own-tail","The Censor Eats Its Own Tail","published","2026-07-22T12:25:57.000Z","cultural-thread","hobfarm-presents","3dm","3dm","","feature","article","[""3dm"",""film history"",""censorship"",""media history"",""Production Code"",""comics"",""music"",""social media"",""artificial intelligence"",""independent publishing""]","[""vacation-into-nothing"",""how-the-money-eats-the-medium"",""mad-trump-and-the-magazine-time-machine"",""you-do-not-own-the-ai-you-pay-for""]","A film-centered history of censorship moving from seals and sponsors into platforms and AI policy.","film-tv","[""censorship"",""film-history"",""media-history"",""platform-governance"",""artificial-intelligence""]","[]","[]","[""youtube"",""hbo""]","[]","[]","[]","[]","[""recommendation-algorithms"",""artificial-intelligence""]","[]","[""media-genealogy"",""systems-investigation""]","low","Legacy 3DM fields and URL remain for compatibility, but the article contains no Dick Miller connection and is excluded from the canonical 3DM series."
"the-feed-is-the-problem","The Feed Is the Problem","scheduled","2026-08-22T23:20:00.000Z","","essays-arguments","","","","feature","article","[""social media"",""recommendation algorithms"",""RSS"",""creator economy"",""doomscrolling"",""mental health"",""friendship"",""media literacy""]","[""hit-the-source-directly"",""every-sentence-is-a-keynote-conclusion""]","The ranked public feed as an economic and cultural system that converts attention into production signals while leaving human aftermath outside its accounting.","culture","[""attention-economy"",""content-discovery"",""creative-labor"",""mental-health"",""platform-economics"",""recommendation-systems"",""social-media"",""social-relationships""]","[]","[]","[""arizona-state-university"",""meta"",""reddit"",""youtube""]","[]","[]","[]","[""phys-org""]","[""feed-readers"",""recommendation-algorithms"",""rss"",""thunderbird""]","[{""id"":""phys-org-doomscrolling-at-work-2026"",""type"":""other"",""label"":""Phys.org article 'Doomscrolling at work wastes time, but the real cost is what happens after'"",""publication"":""Phys.org"",""role"":""origin""}]","[""personal-history-trail"",""systems-investigation""]","high",""
"the-future-was-already-there","The Future Was Already There","scheduled","2026-08-20T23:20:00.000Z","","before-after-eras","Before & After Eras","","","feature","article","[""YouTube"",""television"",""media history"",""Maine""]","[""songs-we-learned-backwards"",""i-want-my-mtv"",""from-wetlands-to-the-wash""]","A surviving Portland graffiti film used to map three creative paths and the transition into one-person video production.","film-tv","[""documentary-film"",""television-production"",""personal-history"",""regional-art"",""media-production""]","[]","[""mike-rich"",""tim-clorius"",""eli-cayer""]","[""youtube""]","[""portland-maine""]","[]","[""subone-graffiti-art""]","[]","[]","[{""id"":""subone-graffiti-art-2006-film"",""type"":""film"",""label"":""SUBONE Graffiti Art (2006)"",""role"":""origin""}]","[""personal-history-trail"",""media-genealogy""]","medium","Film & TV owns the documentary and production history; Culture and Art & Design are strong secondary relationships."
"the-model-is-free","The Model Is Free. The Computer Isn't.","published","2026-08-13T23:20:00.000Z","research","essays-arguments","","","","feature","article","[""ai"",""open weights"",""local ai"",""GPUs"",""cloud computing"",""ComfyUI"",""creative workflows"",""hardware"",""production systems""]","[""reviewing-request-for-safety"",""same-same-but-different"",""you-do-not-own-the-ai-you-pay-for"",""too-big-for-the-box"",""everything-is-still-loading"",""it-just-runs-programs""]","The gap between open model permission and affordable compute, with rented GPUs as a practical middle path.","technology","[""open-computing"",""hardware-economics"",""cloud-computing"",""artificial-intelligence"",""software-ownership""]","[]","[]","[""nvidia""]","[]","[]","[]","[]","[""open-weight-models"",""nvidia-dgx-spark"",""rtx-2080-ti"",""comfyui""]","[]","[""systems-investigation"",""field-report""]","high",""
"the-number-one-song-ive-never-heard","The Number One Song I’ve Never Heard","published","2026-08-13T23:19:00.000Z","cultural-thread","essays-arguments","","","","feature","article","[""music discovery"",""UK singles chart"",""Spotify"",""YouTube"",""Top of the Pops"",""music videos"",""1966""]","[""same-same-but-different"",""fear-and-loathing-after-the-american-dream""]","A record-breaking number-one song the author never encountered and the listening trails that replaced a shared chart room.","music","[""music-discovery"",""streaming"",""media-history"",""content-discovery"",""platform-fragmentation""]","[]","[""sam-fender"",""olivia-dean""]","[""spotify"",""official-charts-company""]","[]","[]","[""rein-me-in""]","[]","[""streaming-media"",""recommendation-algorithms""]","[]","[""personal-history-trail"",""systems-investigation""]","high",""
"the-unlit-corner-chiaroscuro-truth-shadows","The Unlit Corner: Chiaroscuro and the Truth of Shadows","published","2026-03-12T00:00:00.000Z","grimoire","workshop-notes","","","","","workshop-note","[""lighting"",""visual-aesthetics"",""noir"",""contrast"",""shadow"",""art-history"",""perception""]","[]","Chiaroscuro as a visual philosophy that uses withheld light to make the viewer participate.","art-design","[""art-history"",""lighting"",""visual-aesthetics"",""film-noir"",""aesthetics""]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[""visual-study"",""cultural-trail""]","high",""
"they-had-names-doll-family","They Had Names: The Doll Family from Freaks to Sarasota","published","2026-07-27T06:40:00.000Z","cultural-thread","hobfarm-presents","3dm","3dm","","feature","article","[""3dm"",""film history"",""circus history"",""disability"",""dwarfism"",""Freaks"",""The Wizard of Oz"",""Sarasota"",""pre-Code Hollywood""]","[""the-censor-eats-its-own-tail"",""california-used-to-race-here"",""mad-trump-and-the-magazine-time-machine""]","The named Doll Family members as workers moving through film, circus, and Sarasota history.","film-tv","[""film-history"",""circus-history"",""disability-history"",""labor-history"",""pre-code-hollywood""]","[]","[""harry-earles"",""daisy-earles"",""gracie-doll"",""tiny-doll""]","[""mgm"",""ringling-bros""]","[""sarasota""]","[]","[""freaks"",""wizard-of-oz""]","[]","[]","[]","[""archive-trail"",""media-genealogy""]","low","Legacy 3DM fields and URL remain for compatibility, but the article contains no Dick Miller connection and is excluded from the canonical 3DM series."
"too-big-for-the-box","Too Big for the Box","published","2026-07-30T00:20:00.000Z","cultural-thread","essays-arguments","","","","feature","article","[""games"",""interactive fiction"",""cloud computing"",""AI"",""Wonder Machine"",""Other Alice"",""physical media"",""software factories"",""wearable computing"",""creative systems""]","[""i-could-be-playing-civilization"",""everything-is-still-loading"",""take-me-to-phobos"",""gonna-be-different""]","The return of terminal-and-mainframe computing at planetary scale and the bounded machine being built for Other Alice.","technology","[""cloud-computing"",""interactive-fiction"",""software-ownership"",""game-design"",""artificial-intelligence"",""platform-economics""]","[]","[]","[]","[]","[]","[""civilization-v"",""other-alice-adventures""]","[]","[""wonder-machine"",""artificial-intelligence"",""cloud-computing""]","[]","[""systems-investigation"",""process-essay""]","high",""
"topless-party-in-outer-space","Topless Party in Outer Space","published","2026-07-08T07:00:00.000Z","cultural-thread","hobfarm-presents","3dm","3dm","","","article","[""3dm"",""italian-soundtracks"",""library-music"",""piero-umiliani"",""giuliano-sorgini"",""leonard-nimoy"",""muppets"",""bob-crewe"",""media-history""]","[""mad-trump-and-the-magazine-time-machine"",""1956-automation"",""1985-future-tech""]","An Italian library record opening a trail through soundtrack funk, advertising music, lounge, television, and novelty records.","music","[""library-music"",""film-music"",""media-history"",""music-discovery"",""advertising""]","[]","[""piero-umiliani"",""giuliano-sorgini"",""leonard-nimoy"",""bob-crewe""]","[]","[]","[]","[""lavoro-e-tempo-libero""]","[]","[]","[{""id"":""lavoro-e-tempo-libero-record"",""type"":""recording"",""label"":""Giuliano Sorgini, Lavoro e tempo libero"",""role"":""origin""}]","[""media-genealogy"",""cultural-trail""]","low","Legacy 3DM fields and URL remain for compatibility, but the article contains no Dick Miller connection and is excluded from the canonical 3DM series."
